id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
51792,PAK-2009-1-639-7,2009,True,Clear,1,325,325,Pakistan: Balochistan,709,709,Government of Pakistan - BLA,142,142,Government of Pakistan,287,287,BLA,-1,"Daily Times website, Lahore, in English 08 Feb 09",,,,,1,Quetta Town,Quetta,Balochistan Province,Quetta District,30.183333,67.000000,POINT (67.000000 30.183333),173295,Pakistan,770,Asia,1,1,02/07/2009 00:00:00,02/07/2009 00:00:00,1,0,0,0,1,1,1,
51794,PAK-2009-1-768-41,2009,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Daily Times website, Lahore, in English 09 May 09",,,,,2,Kanju Town,Kanju area of Kabal Tehsil [sub-division],Khyber Pakhtunkwa Province,Swat District,34.801035,72.343548,POINT (72.343548 34.801035),179785,Pakistan,770,Asia,1,1,05/08/2009 00:00:00,05/08/2009 00:00:00,0,0,0,5,5,5,5,
51795,PAK-2009-1-768-80,2009,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 1557gmt 18 May 09",,,,,1,Mam Dherai Town,Mam Dherai,Khyber Pakhtunkwa Province,Swat District,34.799205,72.381490,POINT (72.381490 34.799205),179785,Pakistan,770,Asia,1,1,05/18/2009 00:00:00,05/18/2009 00:00:00,0,0,0,10,10,15,10,
51796,PAK-2009-1-768-139,2009,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 1134gmt 07 Jun 09",,,,ISPR spokesman,1,Balakot Town,Balakot (three km southwest of Shangla Top),Khyber Pakhtunkwa Province,Mansehra District,34.550000,73.350000,POINT (73.350000 34.550000),179787,Pakistan,770,Asia,1,1,06/07/2009 00:00:00,06/07/2009 00:00:00,0,2,0,0,2,2,2,
51798,PAK-2009-1-768-198,2009,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 1230gmt 30 Jun 09",,,,,2,Matta Town,around Matta and Wanai,Khyber Pakhtunkwa Province,Swat District,35.093056,72.309722,POINT (72.309722 35.093056),180505,Pakistan,770,Asia,1,1,06/30/2009 00:00:00,06/30/2009 00:00:00,0,0,0,8,8,8,8,
51801,PAK-2009-1-768-295,2009,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"The News website, Islamabad, in English 27 Aug 09",,,,ISPR,3,Swat District,Shahpur area,Khyber Pakhtunkwa Province,Swat District,35.241602,72.499333,POINT (72.499333 35.241602),180505,Pakistan,770,Asia,1,1,08/27/2009 00:00:00,08/27/2009 00:00:00,0,0,0,3,3,3,3,
51803,PAK-2009-1-768-390,2009,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Associated Press of Pakistan news agency, Islamabad, in English 0000gmt 21 Oct 09",,,,ISPR,1,Khaisorah village,Khaisura village,Federally Administered Tribal Areas,South Waziristan,32.409462,69.669466,POINT (69.669466 32.409462),176180,Pakistan,770,Asia,1,1,10/21/2009 00:00:00,10/21/2009 00:00:00,0,0,0,8,8,8,8,
51805,PAK-2009-1-768-496,2009,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,AP 23/11,,,,,1,Shahu Khel Town,"Shahukhel, a town in the Hangu district",Khyber Pakhtunkwa Province,Hangu District,33.588611,71.122500,POINT (71.122500 33.588611),178343,Pakistan,770,Asia,1,1,11/23/2009 00:00:00,11/23/2009 00:00:00,0,0,0,18,18,18,18,
51807,PAK-2010-1-768-113,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,ISPR,2,Mora Kandao Area,Mora Kandao in Swat District of NWFP,Khyber Pakhtunkwa Province,Swat District,34.586997,72.110561,POINT (72.110561 34.586997),179785,Pakistan,770,Asia,1,1,01/05/2010 00:00:00,01/05/2010 00:00:00,0,3,0,0,3,3,3,
51808,PAK-2010-1-768-288,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,Military Operation Major General Sajjad Ghani,1,Ghanam Shah Town,Ghanam Shah Checkpost in Bezai tehsil,Federally Administered Tribal Areas,Mohmand Agency,34.614393,71.182386,POINT (71.182386 34.614393),179783,Pakistan,770,Asia,1,1,01/12/2010 00:00:00,01/12/2010 00:00:00,1,4,0,0,5,5,5,
51810,PAK-2010-1-768-539,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) SATP Pakistan datasheet

(2) Pakistan troops, local militia kill 12 insurgents in Bajaur tribal area
28 January 2010
BBC Monitoring",,,,official of district administration,1,Chinar Town,Chinnar village,Federally Administered Tribal Areas,Bajaur Agency,34.744325,71.286576,POINT (71.286576 34.744325),179783,Pakistan,770,Asia,1,1,01/27/2010 00:00:00,01/27/2010 00:00:00,1,12,0,0,13,13,13,
51811,PAK-2010-1-768-566.1,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,2,Mamund Town,"Damadola, Cheenagai, Shinkot and other adjacent areas, Mamund tehsil",Federally Administered Tribal Areas,Bajaur Agency,34.814722,71.421667,POINT (71.421667 34.814722),179783,Pakistan,770,Asia,1,1,02/05/2010 00:00:00,02/05/2010 00:00:00,0,2,0,0,2,1,1,
51813,PAK-2010-1-768-39.1,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,1,"""BBC Monitoring South Asia,2010-03-04,Pakistan forces complete two phases of operation in Peshawar""",BBC Monitoring South Asia,2010-03-04,Pakistan forces complete two phases of operation in Peshawar,"Safwat Ghayyur, commandant of the Frontier Constabulary (FC)",3,FR Peshawar,Frontier Region Peshawar,Federally Administered Tribal Areas,FR Peshawar,33.740965,71.745991,POINT (71.745991 33.740965),178344,Pakistan,770,Asia,2,4,02/24/2010 00:00:00,03/03/2010 00:00:00,0,19,0,0,19,19,19,
51815,PAK-2010-1-768-73,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,2,Anjani Town,Anjani area of Orakzai agency,Federally Administered Tribal Areas,Orakzai Agency,33.778911,71.112119,POINT (71.112119 33.778911),178343,Pakistan,770,Asia,1,1,03/22/2010 00:00:00,03/22/2010 00:00:00,0,5,0,0,5,5,5,
51816,PAK-2010-1-768-106,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,2,Palai Town,Palai area,Khyber Pakhtunkwa Province,Malakand District,34.512222,72.081111,POINT (72.081111 34.512222),179785,Pakistan,770,Asia,1,1,04/04/2010 00:00:00,04/04/2010 00:00:00,0,3,0,0,3,3,3,
51817,PAK-2010-1-768-148,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Two members of local peace council shot dead in Pakistan's Swat
20 April 2010
BBC Monitoring",,,,,2,Kozabanda Town,Koza Bandai area of Kabal tehsil,Khyber Pakhtunkwa Province,Swat District,34.817749,72.373930,POINT (72.373930 34.817749),179785,Pakistan,770,Asia,1,1,04/19/2010 00:00:00,04/19/2010 00:00:00,2,0,0,0,2,2,2,
51818,PAK-2010-1-844-4,2010,True,Clear,1,404,404,Pakistan: Government,11336,11336,Government of Pakistan - Lashkar-e-Islam,142,142,Government of Pakistan,399,399,Lashkar-e-Islam,-1,SATP,,,,,2,Bara Town,"Bara tehsil, Akakhel area",Federally Administered Tribal Areas,Khyber Agency,33.914722,71.468056,POINT (71.468056 33.914722),178343,Pakistan,770,Asia,1,1,04/27/2010 00:00:00,04/27/2010 00:00:00,0,2,0,0,2,2,2,
51819,PAK-2010-1-768-198,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistani troops kill 11 militants in Orakzai tribal area - sources
9 May 2010
BBC Monitoring",,,,"Tehrik-e-Taliban Pakistan spokesman for Orakzai Agency, Hafiz Saeed",2,Shahu Khel Town,Shahukhel area,Khyber Pakhtunkwa Province,Hangu District,33.588611,71.122500,POINT (71.122500 33.588611),178343,Pakistan,770,Asia,1,1,05/08/2010 00:00:00,05/08/2010 00:00:00,0,4,0,0,4,4,4,
51820,PAK-2010-1-768-215,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Four alleged militants killed during Pakistan's northwest district clash
20 May 2010
BBC Monitoring",,,,tribal sources,1,Ama Khel Village,Amakhel village,Khyber Pakhtunkwa Province,Tank District,32.383333,70.523333,POINT (70.523333 32.383333),176182,Pakistan,770,Asia,1,1,05/18/2010 00:00:00,05/18/2010 00:00:00,1,0,0,0,1,1,1,
51821,PAK-2010-1-768-237,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) Militants kill pro-government elder and his family in northwestern Pakistan
27 May 2010
Associated Press Newswires

(2) SATP Pakistan datasheet",,,,,2,Thall Town,Mamo Khwar are in Thall tehsil,Khyber Pakhtunkwa Province,Hangu District,33.363889,70.549444,POINT (70.549444 33.363889),177622,Pakistan,770,Asia,1,1,05/27/2010 00:00:00,05/27/2010 00:00:00,1,2,0,0,3,3,3,
51822,PAK-2010-1-768-573,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,1,"""BBC Monitoring South Asia,2010-06-09,Six soldiers killed in clash in Pakistan's Orakzai Agency""",BBC Monitoring South Asia,2010-06-09,Six soldiers killed in clash in Pakistan's Orakzai Agency,official and tribal sources,2,Ghaljo Town,"Koranchki area, near ghaljo",Federally Administered Tribal Areas,Orakzai Agency,33.633873,70.853902,POINT (70.853902 33.633873),178342,Pakistan,770,Asia,1,1,06/08/2010 00:00:00,06/08/2010 00:00:00,6,0,0,0,6,6,6,
51824,PAK-2010-1-768-297,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistan: ""key militant commander"" among six killed in Swat
27 June 2010
BBC Monitoring",,,,security officials,1,Ghaligai Town,Ghaligi Darra of tehsil Barikot,Khyber Pakhtunkwa Province,Swat District,34.699140,72.260118,POINT (72.260118 34.699140),179785,Pakistan,770,Asia,1,2,06/27/2010 00:00:00,06/28/2010 00:00:00,0,2,0,0,2,2,2,
51825,PAK-2010-1-768-318,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistan: Three soldiers, 27 militants killed in South Waziristan clash
11 July 2010
BBC Monitoring",,,,official and tribal sources,1,Manza Town,Karwan Manza,Federally Administered Tribal Areas,South Waziristan,32.651900,69.905600,POINT (69.905600 32.651900),176900,Pakistan,770,Asia,1,1,07/10/2010 00:00:00,07/10/2010 00:00:00,3,12,0,0,15,15,15,
51826,PAK-2010-1-768-333,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) FACTBOX-Security developments in Pakistan, July 19
19 July 2010
Reuters News

(2) Around 42 militants killed in aerial strikes in Pakistan tribal areas
20 July 2010
BBC Monitoring",,,,,2,Dogar Town,Dogar and adjoining areas,Federally Administered Tribal Areas,Kurram Agency,33.775278,70.501667,POINT (70.501667 33.775278),178342,Pakistan,770,Asia,1,1,07/19/2010 00:00:00,07/19/2010 00:00:00,0,22,0,0,22,22,22,
51827,PAK-2010-1-768-350,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP Pakistan datasheet,,,,,3,Kurram Agency,Kurram Agency,Federally Administered Tribal Areas,Kurram Agency,33.710172,70.340096,POINT (70.340096 33.710172),178341,Pakistan,770,Asia,1,1,07/29/2010 00:00:00,07/29/2010 00:00:00,0,12,0,0,12,12,12,
51828,PAK-2010-1-768-357,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) Three soldiers, three militants killed in Pakistan tribal area violence
11 August 2010
BBC Monitoring

(2) SATP Pakistan datasheet",,,,Official sources,3,Mohmand Agency,Sagi area,Federally Administered Tribal Areas,Mohmand Agency,34.463860,71.351161,POINT (71.351161 34.463860),179063,Pakistan,770,Asia,1,1,08/10/2010 00:00:00,08/10/2010 00:00:00,3,0,0,0,3,3,3,
51829,PAK-2010-1-768-371,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Militants kill peace body activist in Pakistan's Peshawar - sources
25 August 2010
BBC Monitoring",,,,,3,FR Peshawar,,Federally Administered Tribal Areas,FR Peshawar,33.740965,71.745991,POINT (71.745991 33.740965),178344,Pakistan,770,Asia,1,1,08/24/2010 00:00:00,08/24/2010 00:00:00,1,0,0,0,1,1,1,
51830,PAK-2010-2-421-4,2010,True,Clear,2,5550,4940,Bangesh - Mangal,5550,5550,Bangesh - Mangal,790,790,Bangesh,797,797,Mangal,-1,"At least 12 killed in Kurram tribal clash
9 September 2010
Daily Messenger",,,,,2,Shalozan Town,Shalozan area,Federally Administered Tribal Areas,Kurram Agency,33.937522,69.917164,POINT (69.917164 33.937522),178340,Pakistan,770,Asia,1,1,09/09/2010 00:00:00,09/09/2010 00:00:00,0,0,0,12,12,12,12,
51831,PAK-2010-1-768-390.1,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"Pakistan sources say two policemen, 14 militants killed in Peshawar operation
21 September 2010
BBC Monitoring",,,,,2,Pastawane Town,"Pastawuna, Bora and other parts of Frontier Region Peshawar",Federally Administered Tribal Areas,FR Peshawar,33.701991,71.755440,POINT (71.755440 33.701991),178344,Pakistan,770,Asia,1,1,09/20/2010 00:00:00,09/20/2010 00:00:00,0,7,0,0,7,7,7,
51832,PAK-2010-2-421-9,2010,True,Clear,2,5550,4940,Bangesh - Mangal,5550,5550,Bangesh - Mangal,790,790,Bangesh,797,797,Mangal,-1,"Report says three killed in Pakistan's Kurram Agency rocket attack
5 October 2010
BBC Monitoring",,,,,2,Shalozan Town,Shalozan area,Federally Administered Tribal Areas,Kurram Agency,33.937522,69.917164,POINT (69.917164 33.937522),178340,Pakistan,770,Asia,1,1,10/04/2010 00:00:00,10/04/2010 00:00:00,3,0,0,0,3,3,3,
51833,PAK-2010-1-768-413,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"FACTBOX-Security developments in Pakistan, Oct 14
14 October 2010
Reuters News",,,,,1,Peshawar Town,Peshawar,Khyber Pakhtunkwa Province,Peshawar District,34.016667,71.583333,POINT (71.583333 34.016667),179064,Pakistan,770,Asia,1,1,10/14/2010 00:00:00,10/14/2010 00:00:00,0,1,0,0,1,1,1,
51834,PAK-2010-1-768-452,2010,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"(1) Militants kill two tribal elders in Pakistan's Kurram area
1 November 2010
BBC Monitoring

(2) SATP",,,,,3,Kurram Agency,"Zharaly area, Kurram",Federally Administered Tribal Areas,Kurram Agency,33.710172,70.340096,POINT (70.340096 33.710172),178341,Pakistan,770,Asia,1,1,10/31/2010 00:00:00,10/31/2010 00:00:00,3,0,0,0,3,3,3,
51839,PAK-2011-1-768-64,2011,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP,,,,,2,Prang Ghar village,Dabo Dheri checkpost in Prang Ghar tehsil,Federally Administered Tribal Areas,Mohmand Agency,34.417338,71.636545,POINT (71.636545 34.417338),179064,Pakistan,770,Asia,1,1,02/11/2011 00:00:00,02/11/2011 00:00:00,1,1,0,0,2,2,2,
51843,PAK-2011-1-768-338,2011,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,SATP,,,,,3,Orakzai Agency,Baizotkhel and Mistrikhel tehsil of Orakzai Agency,Federally Administered Tribal Areas,Orakzai Agency,33.707767,71.002380,POINT (71.002380 33.707767),178343,Pakistan,770,Asia,1,1,10/15/2011 00:00:00,10/15/2011 00:00:00,0,10,0,0,10,10,10,
51845,PAK-2011-3-1232-11,2011,True,Clear,3,388,540,LeJ - Civilians,388,1007,LeJ - Civilians,388,388,LeJ,9999,1,Civilians,-1,satp,,,,,1,Quetta Town,Quetta,Balochistan Province,Quetta District,30.183333,67.000000,POINT (67.000000 30.183333),173295,Pakistan,770,Asia,1,1,11/29/2011 00:00:00,11/29/2011 00:00:00,0,0,0,0,0,1,0,
51847,PAK-2012-1-768-261,2012,True,Clear,1,404,404,Pakistan: Government,857,857,Government of Pakistan - TTP,142,142,Government of Pakistan,356,356,TTP,-1,"BBC M SA 2/1 2012 ""Pakistan security personnel killed in Balochistan landmine explosion",,,,Daily Times (Pakistani newspaper),2,Sui Town,Surali,Balochistan Province,Dera Bugti District,25.648076,62.049546,POINT (62.049546 25.648076),166805,Pakistan,770,Asia,1,1,01/01/2012 00:00:00,01/01/2012 00:00:00,4,0,0,0,4,4,4,
